F ( purple_room & F ( landmark_1 ) )	go to the purple room then go to landmark one .	6
F ( second_floor & ~landmark_2 )	navigate to the second floor and avoid landmark two .	6
F ( landmark_2 & F ( orange_room ) )	first move to landmark two then navigate to the orange room .	6
F ( third_floor & F ( landmark_2 ) )	go to the third floor then go to landmark two .	6
F ( third_floor & F ( first_floor ) )	from the third floor navigate to the first floor .	6
F ( blue_room & F ( landmark_3 ) )	go through the blue room before navigating to landmark three .	6
~ ( orange_room ) U ( landmark_3 )	go to landmark three by avoiding the orange room and then stay there or continue to the orange room .	5
F ( landmark_2 & F ( orange_room ) )	go to landmark two before going to the orange room	6
F ( orange_room & ~green_room )	always avoid the green room and go to the orange room .	6
F ( purple_room & F ( red_room ) )	move to the purple room and then the red room .	6
~ ( green_room ) U ( orange_room )	go to the orange room without going to the green room . if you reached the orange room now you can go to the green room .	5
F ( landmark_2 & ~landmark_1 )	go to landmark two and avoid the green room	6
F ( landmark_3 & F ( third_floor ) )	go to landmark three then head to the third floor .	6
F ( landmark_1 ) & G ( purple_room )	stay in the purple room and go to landmark one	6
F ( landmark_1 & F ( landmark_2 ) )	go to landmark two through landmark one .	6
F ( landmark_1 ) & G ( second_floor )	stay on the second floor to get to landmark one .	6
F ( blue_room & F ( landmark_3 ) )	move to the blue room and then move to landmark three .	6
F ( landmark_3 ) & G ( first_floor )	avoid the first floor and the third floor and go to landmark three .	6
F ( landmark_3 & ~landmark_1 )	avoid landmark one and proceed to landmark three	6
F ( orange_room & ~landmark_3 )	always avoid landmark three and navigate to the orange room .	6
F ( orange_room & F ( first_floor ) )	go to the orange room and go down to the onest floor .	6
F ( blue_room ) & G ( second_floor )	move to the blue room without leaving the second floor .	6
~ ( landmark_2 ) U ( yellow_room )	go to the yellow room avoiding landmark two . if you reached the yellow room then you may go to landmark two .	5
F ( landmark_1 & F ( second_floor ) )	always proceed to landmark one and then to the second floor .	6
F ( landmark_3 ) & G ( first_floor )	move to landmark three . do n t change floors if already on twond floor .	6
F ( blue_room & F ( orange_room ) )	head to the orange room but make sure to go through the blue room first .	6
~ ( red_room ) U ( orange_room )	avoid the red room until after navigating to the orange room .	5
F ( green_room & F ( landmark_1 ) )	go through the green room to landmark one .	6
F ( first_floor & ~landmark_3 )	avoid landmark three and go to the second floor .	6
