Reading lines...
Read 6185 sentence pairs
Counting words...
Counted words:
ALL_SRC 129
ALL_TAR 31
Reading lines...
Read 4948 sentence pairs
Counting words...
Counted words:
TRAIN_SRC 129
TRAIN_TAR 31
sentence, trueltl, rank, variants, goodvariants
"go to landmark one through the yellow room", "F ( yellow_room & F ( landmark_1 ) )", 0, 100, 67
"go through the purple room to the green room .", "F ( purple_room & F ( green_room ) )", 0, 100, 50
"avoid the blue room and go to the red room .", "F ( red_room & ~blue_room )", 0, 100, 39
"go to the blue room only through the onest floor", "F ( blue_room ) & G ( first_floor )", 1, 100, 51
"go to the red room but avoid landmark one . if you reached to the red room then you can head to landmark one or stay put .", "~ ( landmark_1 ) U ( red_room )", 0, 100, 53
"go to the onest floor through the orange room", "F ( orange_room & F ( third_floor ) )", 2, 100, 43
"advance to landmark two but always avoid the green room .", "F ( landmark_2 & ~green_room )", 0, 100, 25
"go through the blue room to the yellow room .", "F ( blue_room & F ( yellow_room ) )", 0, 100, 46
"go to the twond floor then go to the red room", "F ( second_floor & F ( red_room ) )", 0, 100, 46
"go to the red room and avoid landmark three .", "F ( red_room & ~landmark_3 )", 0, 100, 64
"move to the third floor travelling through the green room .", "F ( green_room & F ( third_floor ) )", 0, 100, 34
"go to landmark three before going to landmark one .", "F ( landmark_3 & F ( landmark_1 ) )", 0, 100, 44
"stay on the first floor and move to landmark one .", "F ( landmark_1 ) & G ( first_floor )", 0, 100, 34
"avoid the red room until landmark two .", "~ ( red_room ) U ( landmark_2 )", 0, 100, 69
"move to the orange room but ensure to go to the twond floor first .", "F ( second_floor & F ( orange_room ) )", 1, 100, 69
"navigate to the yellow room staying on the second floor .", "F ( yellow_room ) & G ( second_floor )", 0, 100, 39
"avoid the red room until after you ve gone to the purple room .", "~ ( red_room ) U ( purple_room )", 0, 100, 62
"avoid landmark one and proceed to landmark two", "F ( landmark_2 & ~landmark_1 )", 0, 100, 40
"avoid the red room on your way to landmark one .", "~ ( red_room ) U ( landmark_1 )", 0, 100, 55
"always avoid the yellow room and navigate to the second floor .", "F ( second_floor & ~yellow_room )", 0, 100, 59
"always avoid the purple room while navigating to landmark three .", "F ( landmark_3 & ~purple_room )", 0, 100, 39
"go to landmark two through the blue room", "F ( blue_room & F ( landmark_2 ) )", 0, 100, 53
"go to the blue room avoiding landmark one .", "F ( blue_room & ~landmark_1 )", 0, 100, 48
"avoid the red room until navigating to the green room .", "~ ( red_room ) U ( green_room )", 3, 100, 51
"avoid the red room and go to the third floor .", "F ( third_floor & ~red_room )", 0, 100, 51
"avoid the green room until navigating to the red room .", "~ ( green_room ) U ( red_room )", 0, 100, 50
"remain on the onest floor and go directly to the red room .", "F ( red_room ) & G ( third_floor )", 1, 100, 42
