Reading lines...
Read 6185 sentence pairs
Counting words...
Counted words:
ALL_SRC 129
ALL_TAR 31
Reading lines...
Read 4948 sentence pairs
Counting words...
Counted words:
TRAIN_SRC 129
TRAIN_TAR 31
sentence, trueltl, rank, variants, goodvariants
"go to landmark one through the yellow room", "F ( yellow_room & F ( landmark_1 ) )", 0, 64, 16
"go through the purple room to the green room .", "F ( purple_room & F ( green_room ) )", 0, 64, 16
"avoid the blue room and go to the red room .", "F ( red_room & ~blue_room )", 0, 32, 8
"go to the blue room only through the onest floor", "F ( blue_room ) & G ( first_floor )", 4, 64, 8
"go to the red room but avoid landmark one . if you reached to the red room then you can head to landmark one or stay put .", "~ ( landmark_1 ) U ( red_room )", 0, 32, 8
"go to the onest floor through the orange room", "F ( orange_room & F ( third_floor ) )", -1, 64, 16
"advance to landmark two but always avoid the green room .", "F ( landmark_2 & ~green_room )", 0, 32, 4
"go through the blue room to the yellow room .", "F ( blue_room & F ( yellow_room ) )", 0, 64, 16
"go to the twond floor then go to the red room", "F ( second_floor & F ( red_room ) )", 0, 64, 4
"go to the red room and avoid landmark three .", "F ( red_room & ~landmark_3 )", 0, 32, 8
"move to the third floor travelling through the green room .", "F ( green_room & F ( third_floor ) )", 0, 64, 12
"go to landmark three before going to landmark one .", "F ( landmark_3 & F ( landmark_1 ) )", 0, 64, 16
"stay on the first floor and move to landmark one .", "F ( landmark_1 ) & G ( first_floor )", 0, 64, 4
"avoid the red room until landmark two .", "~ ( red_room ) U ( landmark_2 )", 0, 32, 4
"move to the orange room but ensure to go to the twond floor first .", "F ( second_floor & F ( orange_room ) )", 1, 64, 4
"navigate to the yellow room staying on the second floor .", "F ( yellow_room ) & G ( second_floor )", 0, 64, 4
"avoid the red room until after you ve gone to the purple room .", "~ ( red_room ) U ( purple_room )", 0, 32, 4
"avoid landmark one and proceed to landmark two", "F ( landmark_2 & ~landmark_1 )", 0, 32, 8
"avoid the red room on your way to landmark one .", "~ ( red_room ) U ( landmark_1 )", 0, 32, 8
"always avoid the yellow room and navigate to the second floor .", "F ( second_floor & ~yellow_room )", 0, 32, 4
"always avoid the purple room while navigating to landmark three .", "F ( landmark_3 & ~purple_room )", 0, 32, 4
"go to landmark two through the blue room", "F ( blue_room & F ( landmark_2 ) )", 0, 64, 16
"go to the blue room avoiding landmark one .", "F ( blue_room & ~landmark_1 )", 0, 32, 8
"avoid the red room until navigating to the green room .", "~ ( red_room ) U ( green_room )", 3, 32, 4
"avoid the red room and go to the third floor .", "F ( third_floor & ~red_room )", 0, 32, 8
"avoid the green room until navigating to the red room .", "~ ( green_room ) U ( red_room )", 0, 32, 4
"remain on the onest floor and go directly to the red room .", "F ( red_room ) & G ( third_floor )", 2, 64, 4
"navigate to the first floor and avoid landmark two .", "F ( first_floor & ~landmark_2 )", 0, 32, 4
"navigate to landmark one through the purple room .", "F ( purple_room & F ( landmark_1 ) )", 0, 64, 16
"first go to landmark two then go to the purple room .", "F ( landmark_2 & F ( purple_room ) )", 0, 64, 8
"move towards red room and then to first floor .", "F ( red_room & F ( first_floor ) )", 0, 64, 12
"travel through the blue room then go to the orange room .", "F ( blue_room & F ( orange_room ) )", 0, 64, 4
"go to landmark two while always avoiding the red room .", "F ( landmark_2 & ~red_room )", 0, 32, 4
"go to the purple room while avoiding the orange room and if you have reached the purple room then you can go to the orange room .", "~ ( orange_room ) U ( purple_room )", -1, 32, 4
"navigate to the first floor through the green room .", "F ( green_room & F ( first_floor ) )", 0, 64, 12
"avoid the green room on your way to the red room . once you get to the red room you can to the green room .", "~ ( green_room ) U ( red_room )", 4, 32, 8
"go to the purple room and avoid landmark one .", "F ( purple_room & ~landmark_1 )", 0, 32, 8
"from the second floor navigate to the green room .", "F ( second_floor & F ( green_room ) )", 0, 64, 4
"go to the orange room avoiding landmark one .", "F ( orange_room & ~landmark_1 )", 0, 32, 8
"go to the landmark two", "F ( landmark_2 )", -1, 64, 4
"head to landmark one without changing floors .", "F ( landmark_1 ) & G ( third_floor )", 0, 64, 8
"go to the second floor but avoid the blue room .", "F ( second_floor & ~blue_room )", 0, 32, 8
"go to the third floor but never go to the blue room .", "F ( third_floor & ~blue_room )", 0, 32, 4
"always avoid the purple room while navigating to the second floor .", "F ( second_floor & ~purple_room )", 0, 32, 8
"go to landmark one only through the twond floor", "F ( landmark_1 ) & G ( second_floor )", -1, 64, 4
"go to the third floor but avoid landmark two .", "F ( third_floor & ~landmark_2 )", 0, 32, 4
"go to the second floor and avoid the purple room .", "F ( second_floor & ~purple_room )", 0, 32, 4
"move to the second floor without entering the yellow room .", "F ( second_floor & ~yellow_room )", 0, 32, 8
"go to the yellow room and avoid landmark one .", "F ( yellow_room & ~landmark_1 )", 0, 32, 8
"go through landmark three to the first floor .", "F ( landmark_3 & F ( first_floor ) )", 0, 64, 16
"go to the yellow room and go down to the onest floor .", "F ( yellow_room & F ( first_floor ) )", 0, 64, 12
"move towards purple room and then to third floor .", "F ( purple_room & F ( third_floor ) )", 0, 64, 12
"avoid the green room until going to the second floor .", "~ ( green_room ) U ( second_floor )", 0, 32, 4
"head to the yellow room and then head to the third floor .", "F ( yellow_room & F ( third_floor ) )", 0, 64, 8
"first navigate to the blue room then make your way to the orange room .", "F ( blue_room & F ( orange_room ) )", 0, 64, 8
"avoid the green room and go to landmark two .", "F ( landmark_2 & ~green_room )", 0, 32, 4
"avoid the orange room until you go to landmark three .", "~ ( orange_room ) U ( landmark_3 )", 0, 32, 4
"avoid landmark three until you pass through orange room .", "~ ( landmark_3 ) U ( orange_room )", 0, 32, 8
"go through the second floor to the blue room .", "F ( second_floor & F ( blue_room ) )", 0, 64, 8
"navigate to landmark one then continue to the purple room .", "F ( landmark_1 & F ( purple_room ) )", 0, 64, 8
"go to or through the twond floor while avoiding going through the green room", "~ ( green_room ) U ( third_floor )", 0, 32, 4
"go to the red room avoiding the purple room . only if you reached the red room then you may proceed to the purple room .", "~ ( purple_room ) U ( red_room )", 2, 32, 4
"go to the yellow room without going to landmark three .", "F ( yellow_room & ~landmark_3 )", 0, 32, 8
"navigate to the first floor via the yellow room .", "F ( yellow_room & F ( first_floor ) )", 0, 64, 12
"avoid going through landmark three until you go through the blue room .", "~ ( landmark_3 ) U ( blue_room )", 0, 32, 8
"head to landmark two without changing floors .", "F ( landmark_2 ) & G ( second_floor )", -1, 64, 4
"go to purple room and then to green room", "F ( purple_room & F ( green_room ) )", 0, 64, 16
"always go through the purple room to get to the yellow room .", "F ( purple_room & F ( yellow_room ) )", 0, 64, 16
"head to the purple room but first go to the second floor .", "F ( second_floor & F ( purple_room ) )", 0, 64, 8
"go to landmark one while always avoiding the orange room", "F ( landmark_1 & ~orange_room )", 0, 32, 8
"always go through the yellow room before going to landmark three .", "F ( yellow_room & F ( landmark_3 ) )", -1, 16384, 0
"go to landmark two and always avoid the red room", "F ( landmark_2 & ~red_room )", 0, 32, 4
"always avoid landmark two and navigate to the yellow room .", "F ( yellow_room & ~landmark_2 )", 0, 32, 8
"go to landmark three and then the purple room", "F ( landmark_3 & F ( purple_room ) )", 0, 64, 16
"avoid the orange room and navigate to the red room .", "F ( red_room & ~orange_room )", 0, 32, 8
"go to or through the orange room . always avoid going to the orange room through landmark three", "~ ( landmark_3 ) U ( orange_room )", 0, 32, 8
"go to or through the orange room . always avoid going to the orange room through landmark one", "~ ( landmark_1 ) U ( orange_room )", 0, 32, 8
"always avoid the orange room go to landmark two .", "F ( landmark_2 & ~orange_room )", 0, 32, 4
"go to the purple room by touching the green room .", "F ( green_room & F ( purple_room ) )", 6, 64, 16
"avoid the red room before you navigate to the third floor .", "~ ( red_room ) U ( third_floor )", 0, 32, 8
"go through the purple room then make your way to landmark one .", "F ( purple_room & F ( landmark_1 ) )", 0, 64, 16
"stay on the third floor while going to the blue room .", "F ( blue_room ) & G ( third_floor )", 0, 64, 8
"go to landmark one always avoiding the purple room .", "F ( landmark_1 & ~purple_room )", 0, 32, 8
"go through the first floor and navigate to the orange room .", "F ( first_floor & F ( orange_room ) )", 0, 64, 4
"avoid the red room until after navigating to the yellow room .", "~ ( red_room ) U ( yellow_room )", 0, 32, 4
"go to the third floor then go to the first floor .", "F ( third_floor & F ( first_floor ) )", 1, 64, 12
"go to the third floor and then go to the purple room .", "F ( third_floor & F ( purple_room ) )", 0, 64, 4
"avoid the blue room navigate to the orange room .", "F ( orange_room & ~blue_room )", 0, 32, 8
"move to landmark one but avoid landmark three .", "F ( landmark_1 & ~landmark_3 )", -1, 64, 8
"go through the purple room to landmark one .", "F ( purple_room & F ( landmark_1 ) )", 0, 64, 16
"go from the orange room to the purple room", "F ( orange_room & F ( purple_room ) )", 4, 64, 8
"avoid the purple room until after you ve gone to the blue room .", "~ ( purple_room ) U ( blue_room )", 0, 32, 4
